"CCMM","AMA","SSNAL"
25328.8365129903,25328.8465128371,25328.8409850332
25328.8365129903,25328.8465128517,25328.8409650021
25328.8365129903,25328.8465128203,25328.8409450418
25328.8365129903,25328.846512852,25328.8409251522
25328.8365129903,25328.846512793,25328.8409053336
25328.8365129903,25328.8465128443,25328.8408855856
25328.8365129903,25328.8465129276,25328.8408659085
25328.8365129903,25328.8465128505,25328.8408463017
25328.8365129903,25328.8465128565,25328.8408267654
25328.8365129903,25328.8465128624,25328.8408072994
25328.8365129903,25328.8465128106,25328.8407879041
25328.8365129903,25328.8465128648,25328.8407685788
25328.8365129903,25328.8465128085,25328.8407493239
25328.8365129903,25328.8465128649,25328.8407301386
25328.8365129903,25328.84651287,25328.8407110238
25328.8365129903,25328.8465128463,25328.8406919785
25328.8365129903,25328.8465128642,25328.840673003
25328.8365129903,25328.8465128718,25328.8406540974
25328.8365129903,25328.8465128353,25328.8406352613
25328.8365129903,25328.8465128355,25328.8406164948
25328.8365129903,25328.8465128313,25328.8405977975
25328.8365129903,25328.8465128423,25328.8405791696
25328.8365129903,25328.8465128094,25328.8405606107
25328.8365129903,25328.8465128419,25328.8405421211
25328.8365129903,25328.8465128227,25328.8405237004
25328.8365129903,25328.8465128543,25328.8405053488
25328.8365129903,25328.8465127996,25328.8404870656
25328.8365129903,25328.8465128959,25328.8404688512
25328.8365129903,25328.8465128434,25328.8404507054
25328.8365129903,25328.8465128564,25328.8404326279
25328.8365129903,25328.8465128632,25328.8404146187
25328.8365129903,25328.8465128302,25328.8403966777
25328.8365129903,25328.8465128807,25328.8403788047
25328.8365129903,25328.8465128792,25328.8403609997
25328.8365129903,25328.8465128506,25328.8403432626
25328.8365129903,25328.8465128336,25328.8403255929
25328.8365129903,25328.846512875,25328.8403079911
25328.8365129903,25328.8465128525,25328.8402904566
25328.8365129903,25328.8465129008,25328.8402729894
25328.8365129903,25328.8465128564,25328.8402555894
